 +------------------------------------------------------------------------------------------------------------------------------------------------+
 | Location                                                                                |   Total  |       Mean      |   rms   |  min |   max  |
 +------------------------------------------------------------------------------------------------------------------------------------------------+
 |  Charm/pPhys/PartToRelatedInfoRelations                                                 |    98470 |    64.2+-2.8    | 108.7   |    5 | 1830   |
 |  Charm/pPhys/Particles                                                                  |    62534 |    12.5+-0.2    | 16.6    |    3 | 300    |
 |  Charm/pPhys/RecVertices                                                                |     2084 |     1.6+-0.0    | 1.7     |    1 | 41     |
 |  Charm/pPhys/Relations                                                                  |     9310 |     1.9+-0.0    | 1.4     |    1 | 13     |
 |  Charm/pPhys/Vertices                                                                   |    28576 |     5.7+-0.2    | 11.6    |    1 | 260    |
 |  Charm/pRaw/Ecal/Adcs                                                                   |     1421 |       1         |         |      |        |
 |  Charm/pRaw/Ecal/Digits                                                                 |     1421 |       1         |         |      |        |
 |  Charm/pRaw/Prs/Adcs                                                                    |     1412 |       1         |         |      |        |
 |  Charm/pRaw/Prs/Digits                                                                  |     1412 |       1         |         |      |        |
 |  Charm/pRaw/Spd/Digits                                                                  |     1276 |       1         |         |      |        |
 |  Charm/pRec/Calo/EcalClusters                                                           |     3856 |     2.7+-0.1    | 2.8     |    1 | 30     |
 |  Charm/pRec/Calo/EcalSplitClusters                                                      |      510 |     2.1+-0.0    | 0.4     |    2 | 4      |
 |  Charm/pRec/Calo/Electrons                                                              |    15259 |     3.1+-0.0    | 2.0     |    1 | 23     |
 |  Charm/pRec/Calo/MergedPi0s                                                             |      255 |     1.0+-0.0    | 0.2     |    1 | 2      |
 |  Charm/pRec/Calo/Photons                                                                |    14994 |     3.0+-0.0    | 2.4     |    1 | 31     |
 |  Charm/pRec/Calo/SplitPhotons                                                           |      510 |     2.1+-0.0    | 0.4     |    2 | 4      |
 |  Charm/pRec/Muon/MuonPID                                                                |    20290 |     4.1+-0.0    | 2.4     |    1 | 31     |
 |  Charm/pRec/ProtoP/Charged                                                              |    22179 |     4.4+-0.0    | 2.7     |    2 | 36     |
 |  Charm/pRec/ProtoP/Neutrals                                                             |     3882 |     2.7+-0.1    | 2.8     |    1 | 30     |
 |  Charm/pRec/Rich/PIDs                                                                   |    22037 |     4.4+-0.0    | 2.7     |    1 | 36     |
 |  Charm/pRec/Track/Best                                                                  |    24165 |     4.8+-0.0    | 3.0     |    2 | 39     |
 |  Charm/pRec/Track/Clusters                                                              |   431833 |    86.4+-0.8    | 56.7    |   12 | 675    |
 |  Charm/pRec/Track/Muon                                                                  |     2737 |     1.4+-0.0    | 0.8     |    1 | 7      |
 |  Charm/pRec/Vertex/Primary                                                              |     8916 |     1.8+-0.0    | 0.9     |    1 | 6      |
 | *Charm/Phys/B2DMuNuX_D0_KK/Particle2VertexRelations                                     |      178 |     5.6+-0.3    | 1.6     |    5 | 12     |
 | *Charm/Phys/B2DMuNuX_D0_KK/Particles                                                    |       35 |     1.1+-0.1    | 0.3     |    1 | 2      |
 | *Charm/Phys/B2DMuNuX_D0_KK/decayVertices                                                |       35 |     1.1+-0.1    | 0.3     |    1 | 2      |
 | *Charm/Phys/B2DMuNuX_D0_PiPi/Particle2VertexRelations                                   |      214 |     5.3+-0.1    | 0.8     |    5 | 8      |
 | *Charm/Phys/B2DMuNuX_D0_PiPi/Particles                                                  |       41 |     1.0+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/B2DMuNuX_D0_PiPi/decayVertices                                              |       41 |     1.0+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/B2ppipiSigmacmm_Lcpi_Closed_Line/Particle2VertexRelations                   |      310 |    38.8+-6.6    | 18.5    |   19 | 82     |
