 +-----------------------------------------------------------------------------------------------------------------------------------------------------+
 | Location                                                                                     |   Total  |       Mean      |   rms   |  min |   max  |
 +-----------------------------------------------------------------------------------------------------------------------------------------------------+
 |  AllStreams/Hlt2/DisplVerticesHLTPS/VeloProtoP                                               |       15 |     1.7+-0.2    | 0.7     |    1 | 3      |
 |  AllStreams/Hlt2/DisplVerticesWithVeloCandidates/VeloProtoP                                  |       66 |     1.7+-0.1    | 0.9     |    1 | 4      |
 |  AllStreams/Phys/DisplVerticesVeloFilteredTracks/Particles                                   |       66 |     1.7+-0.1    | 0.9     |    1 | 4      |
 |  AllStreams/pPhys/Particles                                                                  |    27620 |     5.5+-0.2    | 11.3    |    0 | 171    |
 |  AllStreams/pPhys/RecVertices                                                                |     1904 |     2.6+-0.1    | 2.4     |    1 | 25     |
 |  AllStreams/pPhys/Relations                                                                  |     6357 |     2.7+-0.1    | 2.6     |    1 | 23     |
 |  AllStreams/pPhys/Vertices                                                                   |    10639 |     4.5+-0.1    | 6.9     |    1 | 88     |
 |  AllStreams/pRec/Vertex/Primary                                                              |     6385 |     2.7+-0.0    | 1.2     |    1 | 8      |
 |  Calo/RawEvent                                                                               |    30000 |       6         |         |      |        |
 |  DAQ/ODIN                                                                                    |     5000 |       1         |         |      |        |
 |  Gen/BeamParameters                                                                          |     5000 |       1         |         |      |        |
 |  Gen/Collisions                                                                              |    17394 |     3.5+-0.0    | 1.6     |    1 | 10     |
 |  Gen/Header                                                                                  |     5000 |       1         |         |      |        |
 |  Link/MC                                                                                     |        0 |       0         |         |      |        |
 |  Link/Raw/Ecal/Digits                                                                        |     5000 |       1         |         |      |        |
 |  Link/Raw/Hcal/Digits                                                                        |     5000 |       1         |         |      |        |
 |  Link/Raw/IT                                                                                 |        0 |       0         |         |      |        |
 |  Link/Raw/Muon                                                                               |        0 |       0         |         |      |        |
 |  Link/Raw/OT                                                                                 |        0 |       0         |         |      |        |
 |  Link/Raw/TT                                                                                 |        0 |       0         |         |      |        |
 |  Link/Raw/Velo                                                                               |        0 |       0         |         |      |        |
 |  Link/Rec/Calo/Electrons                                                                     |     5000 |       1         |         |      |        |
 |  Link/Rec/Calo/MergedPi0s                                                                    |     5000 |       1         |         |      |        |
 |  Link/Rec/Calo/Photons                                                                       |     5000 |       1         |         |      |        |
 |  Link/Rec/Calo/SplitPhotons                                                                  |     5000 |       1         |         |      |        |
 |  Link/Rec/Track/Best                                                                         |     5000 |       1         |         |      |        |
 |  MC/DigiHeader                                                                               |     5000 |       1         |         |      |        |
 |  MC/Header                                                                                   |     5000 |       1         |         |      |        |
 |  MC/TrackInfo                                                                                |     5000 |       1         |         |      |        |
 |  Muon/RawEvent                                                                               |    70000 |      14         |         |      |        |
 |  Other/RawEvent                                                                              | 1.15237e+06 |   230.5+-0.0    | 2.3     |  176 | 231    |
 |  Rec/Header                                                                                  |     5000 |       1         |         |      |        |
 |  Rec/Status                                                                                  |     5000 |       1         |         |      |        |
 |  Rec/Summary                                                                                 |     5000 |       1         |         |      |        |
 |  Rich/RawEvent                                                                               |   120000 |      24         |         |      |        |
 |  Strip/pPhys/DecReports                                                                      |     8555 |     1.7+-0.0    | 2.4     |    0 | 24     |
 |  Trigger/RawEvent                                                                            |    75000 |      15         |         |      |        |
 |  pRec/Calo/Electrons                                                                         |   127243 |    25.4+-0.3    | 19.1    |    0 | 128    |
 |  pRec/Calo/MergedPi0s                                                                        |     2432 |     0.5+-0.0    | 0.8     |    0 | 7      |
 |  pRec/Calo/Photons                                                                           |   296972 |    59.4+-0.4    | 27.7    |    3 | 157    |
 |  pRec/Calo/SplitPhotons                                                                      |     4864 |     1.0+-0.0    | 1.7     |    0 | 14     |
 |  pRec/Muon/MuonPID                                                                           |   234249 |    46.8+-0.4    | 30.4    |    2 | 235    |
 |  pRec/ProtoP/Charged                                                                         |   345962 |    69.2+-0.6    | 39.4    |    4 | 273    |
 |  pRec/ProtoP/Neutrals                                                                        |   304268 |    60.9+-0.4    | 28.7    |    3 | 160    |
 |  pRec/Rich/PIDs                                                                              |   385663 |    77.1+-0.6    | 44.1    |    5 | 339    |
 |  pRec/Track/Best                                                                             |   712932 |   142.6+-1.1    | 80.2    |   12 | 672    |
 |  pRec/Track/Muon                                                                             |    18776 |     3.8+-0.1    | 5.5     |    0 | 73     |
 |  pRec/Vertex/Primary                                                                         |    12279 |     2.5+-0.0    | 1.2     |    1 | 8      |
 |  pRec/Vertex/V0                                                                              |     5269 |     1.1+-0.0    | 1.6     |    0 | 17     |
 |  pSim/Ecal                                                                                   |        0 |       0         |         |      |        |
 |  pSim/Hcal                                                                                   |        0 |       0         |         |      |        |
 |  pSim/IT                                                                                     |        0 |       0         |         |      |        |
 |  pSim/MCParticles                                                                            | 1.62604e+07 |  3252.1+-23.9   | 1688.6  |  148 | 11276  |
 |  pSim/MCVertices                                                                             | 1.78311e+07 |  3566.2+-26.5   | 1876.0  |  170 | 12389  |
 |  pSim/Muon                                                                                   |        0 |       0         |         |      |        |
 |  pSim/OT                                                                                     |        0 |       0         |         |      |        |
 |  pSim/Prs                                                                                    |        0 |       0         |         |      |        |
 |  pSim/PuVeto                                                                                 |        0 |       0         |         |      |        |
 |  pSim/Rich                                                                                   |        0 |       0         |         |      |        |
 |  pSim/Spd                                                                                    |        0 |       0         |         |      |        |
 |  pSim/TT                                                                                     |        0 |       0         |         |      |        |
 |  pSim/Velo                                                                                   |        0 |       0         |         |      |        |
 | *AllStreams/Phys/B02DKLTUBD2HHHBeauty2CharmLine/Particle2VertexRelations                     |      196 |    17.8+-4.4    | 14.6    |    6 | 49     |
 | *AllStreams/Phys/B02DKLTUBD2HHHBeauty2CharmLine/Particles                                    |       48 |     4.4+-1.5    | 4.9     |    1 | 15     |
 | *AllStreams/Phys/B02DKLTUBD2HHHBeauty2CharmLine/decayVertices                                |       48 |     4.4+-1.5    | 4.9     |    1 | 15     |
 | *AllStreams/Phys/B0q2DplusMuXPresel/Particle2VertexRelations                                 |       93 |    11.6+-2.5    | 7.1     |    6 | 27     |
 | *AllStreams/Phys/B0q2DplusMuXPresel/Particles                                                |       13 |     1.6+-0.3    | 0.9     |    1 | 3      |
 | *AllStreams/Phys/B0q2DplusMuXPresel/decayVertices                                            |       13 |     1.6+-0.3    | 0.9     |    1 | 3      |
 | *AllStreams/Phys/B2D0KD2HHHHBeauty2CharmLine/Particle2VertexRelations                        |       21 |      21         |         |      |        |
 | *AllStreams/Phys/B2D0KD2HHHHBeauty2CharmLine/Particles                                       |        3 |       3         |         |      |        |
 | *AllStreams/Phys/B2D0KD2HHHHBeauty2CharmLine/decayVertices                                   |        3 |       3         |         |      |        |
 | *AllStreams/Phys/B2D0PiD2HHHHBeauty2CharmLine/Particle2VertexRelations                       |       20 |      20         |         |      |        |
 | *AllStreams/Phys/B2D0PiD2HHHHBeauty2CharmLine/Particles                                      |        3 |       3         |         |      |        |
 | *AllStreams/Phys/B2D0PiD2HHHHBeauty2CharmLine/decayVertices                                  |        3 |       3         |         |      |        |
 | *AllStreams/Phys/B2HHBkgLine/Particle2VertexRelations                                        |        3 |       3         |         |      |        |
 | *AllStreams/Phys/B2HHBkgLine/Particles                                                       |        1 |       1         |         |      |        |
